client_id,age,balance,average_spending,average_balance,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,gender_F,gender_M,has_deposits_no,has_deposits_yes,loan_no,loan_yes,has_insurance_n,has_insurance_y,has_mortgage_no,has_mortgage_yes,poutcome_failure,poutcome_success
100070076,41.0,175.4452685157474,-7.4544852656943865,203.90792761576887,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False
100141910,34.0,2559.0411924891655,0.44463879498238384,2544.9654384663536,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
100207570,34.0,94.05576068501901,2.4367012861340553,-15.679494904014318,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False,False,False
100646594,75.0,37136.1440309472,1.532748508923978,37131.52615846516,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False
100741497,56.0,240.73733921583977,5.987919519911247,228.18635636833355,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,True,False,False
100757123,33.0,5706.739123595713,-6.166107328889702,5783.1534169387405,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False
100982190,49.0,452.82738179504724,1.7704440121598533,362.75677778648026,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False
101209310,51.0,4361.690326392647,3.9811723682195588,4307.253601438914,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
101341389,38.0,953.1347486345093,-0.03145366316597574,976.0948149998784,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True,True,False,False,False
101831034,75.0,3090.2410160528775,-0.08363456168466656,2976.5391801966075,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,True,False,True,False,False,False
102376256,58.0,1460.7450789236843,2.4464925605591272,1429.5349396652748,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,False,True,False,False
102763302,38.0,908.1520663075858,0.5848931879987185,881.5575107584856,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False,False,True,False,False
103278285,32.0,292.3357474668366,3.1965091781251713,228.25862891300963,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False
103459347,55.0,6124.080206854958,-4.153580255506641,6123.278312222317,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,True,False,True,False,False,False
103634742,50.0,287.8622210179787,1.8439261462258718,299.0633341234621,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False
103751194,44.0,140.55141181688924,0.8980692269295532,116.64080575665864,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False
104199693,33.0,1700.2895201324075,0.22903345710122266,1700.3616913886794,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,True,False,True,False,False,False
104729572,51.0,267.2758849059119,7.955502428827455,121.38268623644935,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False
